ubigeo,distrito,anio,n
70101,CALLAO,2018,2
70101,CALLAO,2019,2
70101,CALLAO,2020,2
70101,CALLAO,2021,2
70101,CALLAO,2022,2
70101,CALLAO,2023,2
70101,CALLAO,2024,2
70101,CALLAO,2025,2
70102,BELLAVISTA,2018,2
70102,BELLAVISTA,2019,2
70102,BELLAVISTA,2020,2
70102,BELLAVISTA,2021,2
70102,BELLAVISTA,2022,2
70102,BELLAVISTA,2023,2
70102,BELLAVISTA,2024,2
70102,BELLAVISTA,2025,2
70103,CARMEN DE LA LEGUA REYNOSO,2018,2
70103,CARMEN DE LA LEGUA REYNOSO,2019,2
70103,CARMEN DE LA LEGUA REYNOSO,2020,2
70103,CARMEN DE LA LEGUA REYNOSO,2021,2
70103,CARMEN DE LA LEGUA REYNOSO,2022,2
70103,CARMEN DE LA LEGUA REYNOSO,2023,2
70103,CARMEN DE LA LEGUA REYNOSO,2024,2
70103,CARMEN DE LA LEGUA REYNOSO,2025,2
70104,LA PERLA,2018,2
70104,LA PERLA,2019,2
70104,LA PERLA,2020,2
70104,LA PERLA,2021,2
70104,LA PERLA,2022,2
70104,LA PERLA,2023,2
70104,LA PERLA,2024,2
70104,LA PERLA,2025,2
70105,LA PUNTA,2018,2
70105,LA PUNTA,2019,2
70105,LA PUNTA,2020,2
70105,LA PUNTA,2021,2
70105,LA PUNTA,2022,2
70105,LA PUNTA,2023,2
70105,LA PUNTA,2024,2
70105,LA PUNTA,2025,2
70106,VENTANILLA,2018,2
70106,VENTANILLA,2019,2
70106,VENTANILLA,2020,2
70106,VENTANILLA,2021,2
70106,VENTANILLA,2022,2
70106,VENTANILLA,2023,2
70106,VENTANILLA,2024,2
70106,VENTANILLA,2025,2
70107,MI PERU,2018,2
70107,MI PERU,2019,2
70107,MI PERU,2020,2
70107,MI PERU,2021,2
70107,MI PERU,2022,2
70107,MI PERU,2023,2
70107,MI PERU,2024,2
70107,MI PERU,2025,2
